_id,INSEGNA,CLASSIFICAZIONE,INDIRIZZO,MUNICIPIO,TIPOLOGIA ESERCIZIO,SINGOLE,DOPPIE,TRIPLE,QUADRUPLE,QUINTUPLE,TOTALE CAMERE,POSTI LETTO
4661,LILLIPUT & FRIENDS,Non Categorizzata,"VIA PRINCIPE AMEDEO, 96",Municipio I (ex Mun I),Case Vacanza non IMPR,1,1,,,,2,3
4662,LILLY ROSE HOUSE,4,"VIA BEZZECCA, 1 b",Municipio I (ex Mun I),Case Vacanza non IMPR,,2,,,,"",4
4663,LINDA HOUSE,3,"VIA BALDO DEGLI UBALDI, 111",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,1,2,,,,"",5
4664,LIO HOUSE,4,"VIA MORTARA, 4",Municipio VII (ex Mun IX),Case Vacanza non IMPR,,1,,,,"",2
4665,LISA HOLIDAY,4,"VICOLO DELLE PALLE, 24",Municipio I (ex Mun I),Case Vacanza non IMPR,,,,,,"",2
4666,L'ISOLA DI ANITA - CASA VACANZE,3,"VIA AMERIGO VESPUCCI, 41",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4667,LITIBERI SUITES,3,"VIA CARLO ALBERTO, 24",Municipio I (ex Mun I),Case Vacanza non IMPR,1,1,,,,"",3
4668,LITTLE,4,"VIA PAOLA, 44",Municipio I (ex Mun I),Case Vacanza non IMPR,1,,,,,1,1
4669,LITTLE GREGORY,3,"VIA GREGORIO VII, 90","",Case Vacanza non IMPR,,2,,,,"",4
4670,LITTLE HOUSE ROMA,4,"VIA MASTRO GIORGIO, 8",Municipio XV (ex Mun XX),Case Vacanza non IMPR,,1,,,,"",2
4671,LITTLE ISA TRASTEVERE,3,"VIA GIOVANNI CASELLI, 11",Municipio XI (ex Mun XV),Case Vacanza non IMPR,,1,,,,"",2
4672,LITTLE PALOMBA HOUSE,4,"VICOLO DELLA PALOMBA, 1",Municipio I (ex Mun I),Case Vacanza non IMPR,2,,,,,"",2
4673,LITTLE SANTA MARIA,2,"PIAZZA DI S. MARIA MAGGIORE, 12",Municipio I (ex Mun I),Case Vacanza non IMPR,1,2,,,,"",5
4674,LITTLE SUITE,4,"VIA FILIPPO TURATI, 34",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,1,,,"",5
